City,Y,X,Size
札幌,43.06417,141.34694,10000
仙台,38.26889,140.87194,10000
東京,35.68944,139.69167,10000
横浜,35.44778,139.6425,10000
金沢,36.59444,136.62556,10000
名古屋,35.18028,136.90667,10000
京都,35.02139,135.75556,10000
大阪,34.68639,135.52,10000
神戸,34.69139,135.18306,10000
広島,34.39639,132.45944,10000
高松,34.34028,134.04333,10000
北九州,33.5300,130.5231,10000
福岡,33.60639,130.41806,10000
沖縄,26.2125,127.68111,10000
