年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,13,月,果実総量,40000,,,5366164,445,118.9,105.2
2021,12,13,月,国産果実総量,40001,,,4541975,488,122.1,104.7
2021,12,13,月,国産果実総量,40001,愛　媛,038,868026,413,,
2021,12,13,月,国産果実総量,40001,和歌山,030,771078,281,,
2021,12,13,月,国産果実総量,40001,長　崎,042,575589,402,,
2021,12,13,月,国産果実総量,40001,熊　本,043,446446,493,,
2021,12,13,月,国産果実総量,40001,青　森,002,424011,456,,
2021,12,13,月,国産果実総量,40001,静　岡,022,194838,484,,
2021,12,13,月,国産果実総量,40001,福　岡,040,172734,785,,
2021,12,13,月,みかん,40100,,,2790419,285,130.7,104.0
2021,12,13,月,みかん,40100,和歌山,030,741220,281,,
2021,12,13,月,みかん,40100,愛　媛,038,691558,331,,
2021,12,13,月,みかん,40100,長　崎,042,543837,307,,
2021,12,13,月,みかん,40100,熊　本,043,273781,199,,
2021,12,13,月,ネーブル,41201,,,5737,239,4097.9,33.0
2021,12,13,月,ネーブル,41201,和歌山,030,5654,238,,
2021,12,13,月,いよかん,41301,,,5190,277,－,－
2021,12,13,月,いよかん,41301,佐　賀,041,5190,277,,
2021,12,13,月,はっさく,41321,,,19681,253,85.1,97.3
2021,12,13,月,はっさく,41321,和歌山,030,19681,253,,
2021,12,13,月,その他雑かん,41999,,,406046,703,91.6,108.3
2021,12,13,月,りんご計,42000,,,682683,413,109.5,99.0
2021,12,13,月,りんご計,42000,青　森,002,412508,452,,
2021,12,13,月,りんご計,42000,岩　手,003,96186,428,,
2021,12,13,月,りんご計,42000,長　野,020,90042,312,,
2021,12,13,月,ジョナゴルド,42505,,,33472,421,118.9,104.5
2021,12,13,月,ジョナゴルド,42505,青　森,002,33472,421,,
2021,12,13,月,王林,42515,,,56462,373,128.9,100.5
2021,12,13,月,王林,42515,青　森,002,55625,375,,
2021,12,13,月,ふじ,42804,,,517019,400,106.8,98.5
2021,12,13,月,ふじ,42804,青　森,002,272871,468,,
2021,12,13,月,ふじ,42804,長　野,020,89493,311,,
2021,12,13,月,ふじ,42804,岩　手,003,72745,356,,
2021,12,13,月,その他りんご,42999,,,75730,525,112.1,98.3
2021,12,13,月,日本なし計,43000,,,24094,477,187.9,112.5
2021,12,13,月,日本なし計,43000,鳥　取,031,11512,437,,
