年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,10,2,土,果実総量,40000,,,3916436,438,100.2,101.2
2021,10,2,土,国産果実総量,40001,,,3214349,481,98.0,101.9
2021,10,2,土,国産果実総量,40001,和歌山,030,620871,319,,
2021,10,2,土,国産果実総量,40001,長　野,020,408712,878,,
2021,10,2,土,国産果実総量,40001,青　森,002,394838,338,,
2021,10,2,土,国産果実総量,40001,熊　本,043,320594,216,,
2021,10,2,土,国産果実総量,40001,奈　良,029,223796,267,,
2021,10,2,土,国産果実総量,40001,福　岡,040,133497,359,,
2021,10,2,土,国産果実総量,40001,長　崎,042,124958,245,,
2021,10,2,土,みかん,40100,,,802393,221,83.5,94.8
2021,10,2,土,みかん,40100,熊　本,043,311119,205,,
2021,10,2,土,みかん,40100,長　崎,042,118335,244,,
2021,10,2,土,みかん,40100,愛　媛,038,104136,209,,
2021,10,2,土,みかん,40100,福　岡,040,79003,267,,
2021,10,2,土,みかん,40100,佐　賀,041,76987,182,,
2021,10,2,土,その他雑かん,41999,,,17852,522,60.7,129.2
2021,10,2,土,りんご計,42000,,,684681,344,104.6,100.9
2021,10,2,土,りんご計,42000,青　森,002,388444,333,,
2021,10,2,土,りんご計,42000,長　野,020,197276,386,,
2021,10,2,土,つがる,42204,,,154363,288,74.7,95.7
2021,10,2,土,つがる,42204,青　森,002,147510,290,,
2021,10,2,土,ジョナゴルド,42505,,,290,212,69.5,69.7
2021,10,2,土,ジョナゴルド,42505,山　形,006,250,177,,
2021,10,2,土,ふじ,42804,,,177683,388,108.6,100.5
2021,10,2,土,ふじ,42804,青　森,002,138730,410,,
2021,10,2,土,ふじ,42804,山　形,006,34193,301,,
2021,10,2,土,その他りんご,42999,,,352344,348,124.2,101.2
2021,10,2,土,日本なし計,43000,,,270433,442,94.5,102.6
2021,10,2,土,日本なし計,43000,福　島,007,56432,412,,
2021,10,2,土,日本なし計,43000,長　野,020,53157,588,,
2021,10,2,土,日本なし計,43000,大　分,044,32510,426,,
2021,10,2,土,日本なし計,43000,茨　城,008,23970,392,,
2021,10,2,土,日本なし計,43000,新　潟,015,23790,465,,
2021,10,2,土,幸水,43203,,,360,311,－,－
2021,10,2,土,幸水,43203,秋　田,005,360,311,,
2021,10,2,土,豊水,43205,,,15502,466,142.5,105.0
2021,10,2,土,豊水,43205,秋　田,005,8320,437,,
2021,10,2,土,豊水,43205,長　野,020,4070,492,,
2021,10,2,土,豊水,43205,大　分,044,2130,506,,
2021,10,2,土,二十世紀,43302,,,1380,341,6.4,173.1
2021,10,2,土,二十世紀,43302,長　野,020,1080,363,,
2021,10,2,土,二十世紀,43302,群　馬,010,300,264,,
2021,10,2,土,新高,43310,,,114733,385,99.2,97.5
2021,10,2,土,新高,43310,大　分,044,30380,420,,
2021,10,2,土,新高,43310,福　島,007,16995,349,,
2021,10,2,土,新高,43310,新　潟,015,15300,440,,
2021,10,2,土,新高,43310,茨　城,008,13700,339,,
2021,10,2,土,新高,43310,長　野,020,7690,418,,
2021,10,2,土,その他なし,43401,,,138458,488,100.3,98.2
2021,10,2,土,西洋なし,43499,,,36505,412,101.4,95.6
2021,10,2,土,西洋なし,43499,長　野,020,15787,441,,
2021,10,2,土,西洋なし,43499,山　形,006,12758,407,,
2021,10,2,土,西洋なし,43499,秋　田,005,6420,365,,
2021,10,2,土,かき計,43500,,,842400,313,114.9,99.7
2021,10,2,土,かき計,43500,和歌山,030,542816,321,,
2021,10,2,土,かき計,43500,奈　良,029,223735,267,,
2021,10,2,土,甘がき,43700,,,63444,401,150.5,104.2
2021,10,2,土,甘がき,43700,福　岡,040,40282,372,,
2021,10,2,土,甘がき,43700,愛　知,023,10848,459,,
2021,10,2,土,渋がき,43751,,,778956,306,112.7,99.0
2021,10,2,土,渋がき,43751,和歌山,030,542816,321,,
2021,10,2,土,渋がき,43751,奈　良,029,223735,267,,
2021,10,2,土,もも,44100,,,3194,726,44.1,112.2
2021,10,2,土,もも,44100,長　野,020,1484,708,,
2021,10,2,土,もも,44100,山　形,006,963,776,,
2021,10,2,土,もも,44100,福　島,007,715,712,,
2021,10,2,土,すもも,44700,,,8237,702,68.2,103.2
2021,10,2,土,すもも,44700,北海道,001,6472,672,,
2021,10,2,土,すもも,44700,山　形,006,1030,731,,
2021,10,2,土,ぶどう計,45000,,,357240,1616,101.1,100.2
2021,10,2,土,ぶどう計,45000,長　野,020,138833,1726,,
2021,10,2,土,ぶどう計,45000,山　梨,019,112973,1763,,
2021,10,2,土,ぶどう計,45000,岡　山,033,73878,1418,,
2021,10,2,土,デラウェア,45202,,,1694,788,52.9,104.6
2021,10,2,土,デラウェア,45202,山　形,006,1694,788,,
2021,10,2,土,巨峰,45206,,,65088,1285,103.9,100.3
2021,10,2,土,巨峰,45206,長　野,020,51415,1300,,
2021,10,2,土,巨峰,45206,山　梨,019,11413,1254,,
2021,10,2,土,その他ぶどう,45299,,,290463,1695,101.1,100.1
2021,10,2,土,くり,45700,,,38258,899,101.2,117.4
2021,10,2,土,くり,45700,茨　城,008,23302,725,,
2021,10,2,土,くり,45700,愛　媛,038,8705,1149,,
2021,10,2,土,いちご,46100,,,3833,2544,144.2,91.5
2021,10,2,土,いちご,46100,北海道,001,1516,2808,,
2021,10,2,土,いちご,46100,長　野,020,916,2484,,
2021,10,2,土,いちご,46100,青　森,002,742,1822,,
2021,10,2,土,メロン計,47000,,,90150,564,81.9,101.6
2021,10,2,土,メロン計,47000,北海道,001,56008,492,,
2021,10,2,土,メロン計,47000,茨　城,008,11262,494,,
2021,10,2,土,メロン計,47000,静　岡,022,10947,1065,,
2021,10,2,土,温室メロン,47200,,,27312,733,80.6,100.7
2021,10,2,土,温室メロン,47200,茨　城,008,11262,494,,
2021,10,2,土,温室メロン,47200,静　岡,022,10947,1065,,
2021,10,2,土,アンデス,47213,,,2317,410,134.6,95.3
2021,10,2,土,アンデス,47213,山　形,006,2317,410,,
2021,10,2,土,その他メロン,47299,,,60521,493,81.3,102.7
2021,10,2,土,すいか,48100,,,16615,260,87.4,98.1
2021,10,2,土,すいか,48100,長　崎,042,5240,192,,
2021,10,2,土,すいか,48100,鳥　取,031,2170,345,,
2021,10,2,土,すいか,48100,千　葉,012,1768,275,,
2021,10,2,土,すいか,48100,愛　知,023,1740,220,,
2021,10,2,土,すいか,48100,山　形,006,1560,323,,
2021,10,2,土,キウイフルツ,49300,,,5242,1037,148.0,130.3
2021,10,2,土,キウイフルツ,49300,福　岡,040,4998,1065,,
2021,10,2,土,他の国産果実,49500,,,37329,951,107.6,98.8
2021,10,2,土,輸入果実計,50000,,,702081,242,111.6,105.2
2021,10,2,土,バナナ,50100,,,404290,168,96.5,109.1
2021,10,2,土,パイナップル,50300,,,59902,193,105.1,100.0
2021,10,2,土,レモン,50400,,,36748,244,218.7,84.7
2021,10,2,土,グレプフルツ,50500,,,46714,149,191.8,94.3
2021,10,2,土,オレンジ,50600,,,51104,242,205.0,93.4
2021,10,2,土,輸入キウイ,50800,,,67280,554,111.3,101.5
2021,10,2,土,輸入メロン,50850,,,2879,311,116.0,114.8
2021,10,2,土,他の輸入果実,50900,,,33170,727,135.1,88.0
