年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,9,木,セルリー,32900,静　岡,022,19467,190,,
2021,12,9,木,セルリー,32900,福　岡,040,16613,195,,
2021,12,9,木,アスパラガス,33100,,,12436,1003,103.6,104.9
2021,12,9,木,アスパラガス,33100,岩　手,003,521,2441,,
2021,12,9,木,アスパラガス,33100,北海道,001,116,2607,,
2021,12,9,木,アスパラガス,33100,秋　田,005,35,2025,,
2021,12,9,木,アスパラガス,33100,新　潟,015,20,2168,,
2021,12,9,木,　　うち輸入,33101,,,11744,919,100.7,101.2
2021,12,9,木,カリフラワー,33200,,,25845,288,105.5,104.3
2021,12,9,木,カリフラワー,33200,徳　島,036,5315,362,,
2021,12,9,木,カリフラワー,33200,熊　本,043,4647,250,,
2021,12,9,木,カリフラワー,33200,埼　玉,011,4566,322,,
2021,12,9,木,カリフラワー,33200,愛　知,023,2115,272,,
2021,12,9,木,カリフラワー,33200,神奈川,014,1812,256,,
2021,12,9,木,ブロッコリー,33300,,,309506,346,126.9,102.4
2021,12,9,木,ブロッコリー,33300,香　川,037,51463,421,,
2021,12,9,木,ブロッコリー,33300,熊　本,043,47453,367,,
2021,12,9,木,ブロッコリー,33300,鳥　取,031,41406,344,,
2021,12,9,木,ブロッコリー,33300,愛　知,023,36744,269,,
2021,12,9,木,ブロッコリー,33300,長　崎,042,32665,337,,
2021,12,9,木,　　うち輸入,33301,,,2520,388,103.7,100.3
2021,12,9,木,レタス,33400,,,669452,144,95.9,102.9
2021,12,9,木,レタス,33400,兵　庫,028,130081,140,,
2021,12,9,木,レタス,33400,長　崎,042,112969,118,,
2021,12,9,木,レタス,33400,静　岡,022,97948,139,,
2021,12,9,木,レタス,33400,茨　城,008,96030,139,,
2021,12,9,木,レタス,33400,香　川,037,57231,147,,
2021,12,9,木,パセリ,33600,,,3609,1548,94.1,99.7
2021,12,9,木,パセリ,33600,千　葉,012,1132,1449,,
2021,12,9,木,パセリ,33600,静　岡,022,614,1412,,
2021,12,9,木,パセリ,33600,愛　知,023,460,1669,,
2021,12,9,木,パセリ,33600,香　川,037,405,1496,,
2021,12,9,木,パセリ,33600,茨　城,008,187,2002,,
2021,12,9,木,きゅうり,34100,,,598007,304,150.4,99.3
2021,12,9,木,きゅうり,34100,宮　崎,045,228443,306,,
2021,12,9,木,きゅうり,34100,高　知,039,102183,328,,
2021,12,9,木,きゅうり,34100,千　葉,012,51753,312,,
2021,12,9,木,きゅうり,34100,愛　知,023,37831,348,,
2021,12,9,木,きゅうり,34100,鹿児島,046,37403,275,,
2021,12,9,木,かぼちゃ,34200,,,378840,206,117.6,102.0
2021,12,9,木,かぼちゃ,34200,北海道,001,159647,162,,
2021,12,9,木,かぼちゃ,34200,茨　城,008,41474,243,,
2021,12,9,木,かぼちゃ,34200,鹿児島,046,27808,305,,
2021,12,9,木,かぼちゃ,34200,宮　崎,045,13649,457,,
2021,12,9,木,かぼちゃ,34200,愛　媛,038,13290,287,,
2021,12,9,木,　　うち輸入,34201,,,110290,185,96.2,98.9
2021,12,9,木,なす,34300,,,236616,447,171.3,97.0
2021,12,9,木,なす,34300,高　知,039,105838,434,,
2021,12,9,木,なす,34300,熊　本,043,60512,443,,
2021,12,9,木,なす,34300,福　岡,040,46826,469,,
2021,12,9,木,トマト,34400,,,606522,421,160.3,95.0
2021,12,9,木,トマト,34400,熊　本,043,337668,396,,
2021,12,9,木,トマト,34400,愛　知,023,67064,446,,
2021,12,9,木,トマト,34400,栃　木,009,58890,424,,
2021,12,9,木,トマト,34400,福　岡,040,24212,394,,
2021,12,9,木,ミニトマト,34450,,,258618,568,156.3,98.3
2021,12,9,木,ミニトマト,34450,熊　本,043,141814,511,,
2021,12,9,木,ミニトマト,34450,愛　知,023,36995,729,,
2021,12,9,木,ミニトマト,34450,宮　崎,045,20323,557,,
2021,12,9,木,ミニトマト,34450,長　崎,042,10821,528,,
2021,12,9,木,ピーマン,34500,,,211853,380,115.7,103.5
2021,12,9,木,ピーマン,34500,宮　崎,045,77871,380,,
2021,12,9,木,ピーマン,34500,茨　城,008,35075,345,,
2021,12,9,木,ピーマン,34500,鹿児島,046,30363,346,,
2021,12,9,木,ピーマン,34500,高　知,039,30051,393,,
2021,12,9,木,ししとう,34600,,,8607,1441,104.7,94.1
2021,12,9,木,ししとう,34600,高　知,039,6718,1556,,
2021,12,9,木,ししとう,34600,宮　崎,045,900,510,,
2021,12,9,木,スイトコーン,34700,,,568,334,90.7,100.6
2021,12,9,木,スイトコーン,34700,徳　島,036,233,285,,
2021,12,9,木,スイトコーン,34700,宮　崎,045,221,413,,
2021,12,9,木,スイトコーン,34700,沖　縄,047,105,281,,
2021,12,9,木,さやいんげん,35100,,,22570,945,131.8,95.4
2021,12,9,木,さやいんげん,35100,沖　縄,047,9778,965,,
2021,12,9,木,さやいんげん,35100,鹿児島,046,7201,903,,
2021,12,9,木,さやいんげん,35100,長　崎,042,2393,942,,
2021,12,9,木,さやえんどう,35200,,,21920,1203,141.8,102.4
2021,12,9,木,さやえんどう,35200,鹿児島,046,12466,1193,,
2021,12,9,木,さやえんどう,35200,和歌山,030,2953,1112,,
2021,12,9,木,さやえんどう,35200,長　崎,042,2070,1199,,
2021,12,9,木,さやえんどう,35200,愛　知,023,2016,1271,,
2021,12,9,木,　　うち輸入,35201,,,798,910,387.4,111.2
2021,12,9,木,実えんどう,35300,,,2432,1098,166.7,103.1
2021,12,9,木,実えんどう,35300,鹿児島,046,1284,1188,,
2021,12,9,木,実えんどう,35300,和歌山,030,1098,1026,,
2021,12,9,木,そらまめ,35400,,,471,1100,574.4,97.3
2021,12,9,木,そらまめ,35400,鹿児島,046,471,1100,,
2021,12,9,木,えだまめ,35500,,,583,1680,137.8,92.7
2021,12,9,木,えだまめ,35500,静　岡,022,308,1837,,
2021,12,9,木,えだまめ,35500,鹿児島,046,140,910,,
2021,12,9,木,えだまめ,35500,沖　縄,047,135,2120,,
2021,12,9,木,かんしょ,36100,,,432827,286,101.1,105.1
2021,12,9,木,かんしょ,36100,茨　城,008,185494,251,,
2021,12,9,木,かんしょ,36100,千　葉,012,106866,236,,
2021,12,9,木,かんしょ,36100,徳　島,036,89444,398,,
2021,12,9,木,ばれいしょ,36200,,,916252,210,115.7,100.0
2021,12,9,木,ばれいしょ,36200,北海道,001,731459,202,,
2021,12,9,木,ばれいしょ,36200,長　崎,042,182190,240,,
2021,12,9,木,さといも,36300,,,139841,299,119.4,95.2
2021,12,9,木,さといも,36300,埼　玉,011,40711,277,,
2021,12,9,木,さといも,36300,愛　媛,038,26212,271,,
2021,12,9,木,さといも,36300,新　潟,015,11950,353,,
2021,12,9,木,さといも,36300,福　井,018,11890,237,,
2021,12,9,木,さといも,36300,千　葉,012,9088,258,,
2021,12,9,木,やまのいも,36500,,,187804,308,117.4,100.7
2021,12,9,木,やまのいも,36500,青　森,002,89831,312,,
2021,12,9,木,やまのいも,36500,北海道,001,78102,273,,
2021,12,9,木,たまねぎ,36610,,,1771487,164,104.5,97.6
2021,12,9,木,たまねぎ,36610,北海道,001,1624058,162,,
2021,12,9,木,　　うち輸入,36620,,,68775,126,126.3,102.4
2021,12,9,木,にんにく,36700,,,22405,1165,123.2,129.9
2021,12,9,木,にんにく,36700,青　森,002,12377,1776,,
2021,12,9,木,にんにく,36700,北海道,001,81,2385,,
2021,12,9,木,にんにく,36700,秋　田,005,80,1296,,
2021,12,9,木,にんにく,36700,兵　庫,028,70,1944,,
2021,12,9,木,にんにく,36700,千　葉,012,48,1006,,
2021,12,9,木,　　うち輸入,36701,,,9702,365,86.9,104.9
2021,12,9,木,しょうが,37200,,,19513,655,85.2,98.9
2021,12,9,木,しょうが,37200,高　知,039,9581,823,,
2021,12,9,木,しょうが,37200,長　崎,042,1901,517,,
2021,12,9,木,しょうが,37200,熊　本,043,767,792,,
