年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,30,火,果実総量,40000,,,4129708,372,74.2,98.9
2021,11,30,火,国産果実総量,40001,,,3320237,399,70.2,98.8
2021,11,30,火,国産果実総量,40001,長　崎,042,480127,329,,
2021,11,30,火,国産果実総量,40001,和歌山,030,452527,276,,
2021,11,30,火,国産果実総量,40001,青　森,002,352422,453,,
2021,11,30,火,国産果実総量,40001,愛　媛,038,326358,294,,
2021,11,30,火,国産果実総量,40001,熊　本,043,264477,291,,
2021,11,30,火,国産果実総量,40001,静　岡,022,248210,345,,
2021,11,30,火,国産果実総量,40001,福　岡,040,218873,423,,
2021,11,30,火,みかん,40100,,,1891341,255,66.7,93.4
2021,11,30,火,みかん,40100,長　崎,042,458870,276,,
2021,11,30,火,みかん,40100,和歌山,030,403357,263,,
2021,11,30,火,みかん,40100,愛　媛,038,265658,253,,
2021,11,30,火,みかん,40100,熊　本,043,234721,213,,
2021,11,30,火,みかん,40100,静　岡,022,230465,242,,
2021,11,30,火,ネーブル,41201,,,53,793,1.2,321.1
2021,11,30,火,ネーブル,41201,静　岡,022,53,793,,
2021,11,30,火,その他雑かん,41999,,,78500,677,47.2,86.9
2021,11,30,火,りんご計,42000,,,686313,399,83.9,99.5
2021,11,30,火,りんご計,42000,青　森,002,348662,451,,
2021,11,30,火,りんご計,42000,長　野,020,162339,378,,
2021,11,30,火,りんご計,42000,岩　手,003,67608,393,,
2021,11,30,火,ジョナゴルド,42505,,,17739,425,55.0,102.2
2021,11,30,火,ジョナゴルド,42505,青　森,002,17487,428,,
2021,11,30,火,王林,42515,,,47399,349,72.7,98.3
2021,11,30,火,王林,42515,青　森,002,45739,354,,
2021,11,30,火,ふじ,42804,,,563758,400,86.8,98.5
2021,11,30,火,ふじ,42804,青　森,002,241433,472,,
2021,11,30,火,ふじ,42804,長　野,020,161213,378,,
2021,11,30,火,ふじ,42804,岩　手,003,60688,399,,
2021,11,30,火,その他りんご,42999,,,57417,425,80.8,107.6
2021,11,30,火,日本なし計,43000,,,11317,458,101.6,95.0
2021,11,30,火,日本なし計,43000,福　島,007,3612,457,,
2021,11,30,火,日本なし計,43000,京　都,026,2150,303,,
2021,11,30,火,日本なし計,43000,大　分,044,1595,415,,
2021,11,30,火,日本なし計,43000,栃　木,009,1485,478,,
2021,11,30,火,日本なし計,43000,岡　山,033,764,618,,
2021,11,30,火,その他なし,43401,,,11317,458,102.1,95.2
2021,11,30,火,西洋なし,43499,,,57187,522,90.5,94.6
2021,11,30,火,西洋なし,43499,山　形,006,48330,476,,
2021,11,30,火,かき計,43500,,,377881,317,71.6,97.2
2021,11,30,火,かき計,43500,福　岡,040,97804,301,,
2021,11,30,火,かき計,43500,奈　良,029,83208,310,,
2021,11,30,火,かき計,43500,岐　阜,021,62534,351,,
2021,11,30,火,かき計,43500,和歌山,030,44598,352,,
2021,11,30,火,かき計,43500,愛　媛,038,40223,314,,
2021,11,30,火,甘がき,43700,,,317182,321,66.4,96.1
2021,11,30,火,甘がき,43700,福　岡,040,97679,302,,
2021,11,30,火,甘がき,43700,奈　良,029,82705,310,,
2021,11,30,火,甘がき,43700,岐　阜,021,61414,353,,
2021,11,30,火,甘がき,43700,和歌山,030,44588,352,,
2021,11,30,火,渋がき,43751,,,60699,294,120.0,114.8
2021,11,30,火,渋がき,43751,愛　媛,038,29095,297,,
2021,11,30,火,渋がき,43751,山　形,006,19673,311,,
2021,11,30,火,もも,44100,,,496,2703,367.4,209.9
2021,11,30,火,もも,44100,岡　山,033,362,3295,,
2021,11,30,火,もも,44100,山　梨,019,134,1106,,
2021,11,30,火,ぶどう計,45000,,,27003,2306,80.4,113.7
2021,11,30,火,ぶどう計,45000,長　野,020,15957,2791,,
2021,11,30,火,ぶどう計,45000,岡　山,033,5676,2041,,
2021,11,30,火,巨峰,45206,,,470,1833,43.9,107.0
2021,11,30,火,巨峰,45206,長　野,020,440,1869,,
2021,11,30,火,その他ぶどう,45299,,,26534,2315,81.6,113.6
