年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,25,木,果実総量,40000,,,4596396,374,107.5,94.4
2021,11,25,木,国産果実総量,40001,,,3944579,399,111.5,93.7
2021,11,25,木,国産果実総量,40001,愛　媛,038,652837,346,,
2021,11,25,木,国産果実総量,40001,和歌山,030,569438,290,,
2021,11,25,木,国産果実総量,40001,青　森,002,431474,442,,
2021,11,25,木,国産果実総量,40001,熊　本,043,328629,252,,
2021,11,25,木,国産果実総量,40001,長　野,020,226759,624,,
2021,11,25,木,国産果実総量,40001,静　岡,022,226359,350,,
2021,11,25,木,国産果実総量,40001,福　岡,040,223296,428,,
2021,11,25,木,みかん,40100,,,2156881,275,131.0,105.8
2021,11,25,木,みかん,40100,愛　媛,038,562392,318,,
2021,11,25,木,みかん,40100,和歌山,030,524464,280,,
2021,11,25,木,みかん,40100,熊　本,043,289969,207,,
2021,11,25,木,みかん,40100,静　岡,022,205667,262,,
2021,11,25,木,みかん,40100,長　崎,042,168008,286,,
2021,11,25,木,その他雑かん,41999,,,110852,629,143.7,100.5
2021,11,25,木,りんご計,42000,,,883753,401,102.8,100.0
2021,11,25,木,りんご計,42000,青　森,002,420603,439,,
2021,11,25,木,りんご計,42000,長　野,020,204521,408,,
2021,11,25,木,りんご計,42000,岩　手,003,106938,377,,
2021,11,25,木,ジョナゴルド,42505,,,38850,414,126.4,96.1
2021,11,25,木,ジョナゴルド,42505,青　森,002,38256,417,,
2021,11,25,木,王林,42515,,,69977,342,123.5,98.8
2021,11,25,木,王林,42515,青　森,002,57000,356,,
2021,11,25,木,ふじ,42804,,,684431,410,100.4,101.0
2021,11,25,木,ふじ,42804,青　森,002,262445,466,,
2021,11,25,木,ふじ,42804,長　野,020,194441,412,,
2021,11,25,木,ふじ,42804,岩　手,003,89678,402,,
2021,11,25,木,ふじ,42804,山　形,006,75350,282,,
2021,11,25,木,その他りんご,42999,,,90495,374,100.1,95.9
2021,11,25,木,日本なし計,43000,,,24072,426,165.4,95.9
2021,11,25,木,日本なし計,43000,大　分,044,11783,424,,
2021,11,25,木,日本なし計,43000,京　都,026,3315,357,,
2021,11,25,木,日本なし計,43000,鳥　取,031,2765,403,,
2021,11,25,木,日本なし計,43000,福　岡,040,1585,423,,
2021,11,25,木,その他なし,43401,,,24072,426,165.4,95.9
2021,11,25,木,西洋なし,43499,,,67506,537,98.5,95.0
2021,11,25,木,西洋なし,43499,山　形,006,50405,475,,
2021,11,25,木,西洋なし,43499,新　潟,015,9296,893,,
2021,11,25,木,かき計,43500,,,455536,334,76.9,98.5
2021,11,25,木,かき計,43500,奈　良,029,139893,315,,
2021,11,25,木,かき計,43500,岐　阜,021,101037,387,,
2021,11,25,木,かき計,43500,福　岡,040,72265,317,,
2021,11,25,木,かき計,43500,愛　媛,038,57201,305,,
2021,11,25,木,甘がき,43700,,,391035,341,77.0,98.8
2021,11,25,木,甘がき,43700,奈　良,029,139433,315,,
2021,11,25,木,甘がき,43700,岐　阜,021,99095,388,,
2021,11,25,木,甘がき,43700,福　岡,040,72265,317,,
2021,11,25,木,甘がき,43700,和歌山,030,41594,381,,
2021,11,25,木,渋がき,43751,,,64502,290,76.4,95.4
2021,11,25,木,渋がき,43751,愛　媛,038,38713,280,,
2021,11,25,木,渋がき,43751,新　潟,015,8573,384,,
2021,11,25,木,渋がき,43751,山　形,006,3732,333,,
2021,11,25,木,渋がき,43751,石　川,017,3236,248,,
2021,11,25,木,もも,44100,,,423,3156,141.5,85.9
2021,11,25,木,もも,44100,岡　山,033,313,3603,,
2021,11,25,木,もも,44100,山　梨,019,110,1885,,
2021,11,25,木,ぶどう計,45000,,,35387,2236,121.4,95.2
2021,11,25,木,ぶどう計,45000,長　野,020,21099,2693,,
2021,11,25,木,ぶどう計,45000,岡　山,033,6612,2161,,
2021,11,25,木,ぶどう計,45000,青　森,002,5526,595,,
2021,11,25,木,巨峰,45206,,,1049,1808,62.5,98.6
2021,11,25,木,巨峰,45206,長　野,020,899,1873,,
2021,11,25,木,その他ぶどう,45299,,,34339,2249,125.0,94.5
2021,11,25,木,くり,45700,,,20,1350,4.4,131.1
2021,11,25,木,くり,45700,茨　城,008,20,1350,,
2021,11,25,木,いちご,46100,,,102390,2053,68.5,101.3
2021,11,25,木,いちご,46100,栃　木,009,35795,1833,,
2021,11,25,木,いちご,46100,福　岡,040,11355,2696,,
2021,11,25,木,いちご,46100,愛　知,023,10961,2016,,
2021,11,25,木,いちご,46100,長　崎,042,10907,2084,,
2021,11,25,木,いちご,46100,宮　城,004,7164,1734,,
2021,11,25,木,メロン計,47000,,,46705,755,76.8,98.6
2021,11,25,木,メロン計,47000,熊　本,043,16583,545,,
2021,11,25,木,メロン計,47000,静　岡,022,14166,1195,,
2021,11,25,木,メロン計,47000,長　崎,042,9436,497,,
2021,11,25,木,温室メロン,47200,,,35214,813,83.0,97.1
2021,11,25,木,温室メロン,47200,静　岡,022,14166,1195,,
2021,11,25,木,温室メロン,47200,長　崎,042,9011,494,,
2021,11,25,木,温室メロン,47200,熊　本,043,6640,514,,
2021,11,25,木,アンデス,47213,,,1650,526,76.9,102.9
2021,11,25,木,アンデス,47213,熊　本,043,1650,526,,
2021,11,25,木,その他メロン,47299,,,9842,586,60.6,95.8
2021,11,25,木,すいか,48100,,,16922,244,140.4,87.8
2021,11,25,木,すいか,48100,熊　本,043,13294,228,,
2021,11,25,木,すいか,48100,沖　縄,047,3252,264,,
2021,11,25,木,キウイフルツ,49300,,,32900,433,179.9,92.3
2021,11,25,木,キウイフルツ,49300,山　梨,019,15992,341,,
2021,11,25,木,キウイフルツ,49300,福　岡,040,8197,575,,
2021,11,25,木,キウイフルツ,49300,栃　木,009,3915,335,,
2021,11,25,木,他の国産果実,49500,,,11251,1003,129.0,113.5
2021,11,25,木,輸入果実計,50000,,,651810,229,88.3,90.9
2021,11,25,木,バナナ,50100,,,398302,155,100.5,96.9
2021,11,25,木,パイナップル,50300,,,67732,183,94.1,106.4
2021,11,25,木,レモン,50400,,,45029,238,115.2,91.9
2021,11,25,木,グレプフルツ,50500,,,19886,198,43.2,145.6
2021,11,25,木,オレンジ,50600,,,35873,238,106.4,98.8
2021,11,25,木,輸入キウイ,50800,,,32303,520,38.8,93.9
2021,11,25,木,輸入メロン,50850,,,2972,324,80.8,100.6
2021,11,25,木,他の輸入果実,50900,,,49721,683,77.2,115.0
