年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,30,火,セルリー,32900,,,51683,177,97.7,98.9
2021,11,30,火,セルリー,32900,静　岡,022,31099,167,,
2021,11,30,火,セルリー,32900,福　岡,040,10460,210,,
2021,11,30,火,アスパラガス,33100,,,12950,801,86.3,103.2
2021,11,30,火,アスパラガス,33100,岩　手,003,164,2691,,
2021,11,30,火,アスパラガス,33100,北海道,001,16,3196,,
2021,11,30,火,　　うち輸入,33101,,,12770,774,86.4,103.5
2021,11,30,火,カリフラワー,33200,,,24952,271,98.9,108.8
2021,11,30,火,カリフラワー,33200,埼　玉,011,5036,304,,
2021,11,30,火,カリフラワー,33200,徳　島,036,3910,383,,
2021,11,30,火,カリフラワー,33200,群　馬,010,3212,175,,
2021,11,30,火,カリフラワー,33200,茨　城,008,2895,254,,
2021,11,30,火,カリフラワー,33200,熊　本,043,2611,242,,
2021,11,30,火,ブロッコリー,33300,,,272791,302,85.1,103.4
2021,11,30,火,ブロッコリー,33300,香　川,037,55030,363,,
2021,11,30,火,ブロッコリー,33300,長　崎,042,40175,302,,
2021,11,30,火,ブロッコリー,33300,愛　知,023,31835,220,,
2021,11,30,火,ブロッコリー,33300,鳥　取,031,25922,308,,
2021,11,30,火,ブロッコリー,33300,熊　本,043,24472,339,,
2021,11,30,火,　　うち輸入,33301,,,1880,389,140.3,169.1
2021,11,30,火,レタス,33400,,,703584,126,102.2,103.3
2021,11,30,火,レタス,33400,茨　城,008,195464,128,,
2021,11,30,火,レタス,33400,兵　庫,028,120952,130,,
2021,11,30,火,レタス,33400,長　崎,042,112742,86,,
2021,11,30,火,レタス,33400,静　岡,022,79755,124,,
2021,11,30,火,レタス,33400,香　川,037,48558,119,,
2021,11,30,火,パセリ,33600,,,3806,1505,97.8,96.8
2021,11,30,火,パセリ,33600,千　葉,012,1325,1417,,
2021,11,30,火,パセリ,33600,静　岡,022,679,1485,,
2021,11,30,火,パセリ,33600,愛　知,023,535,1599,,
2021,11,30,火,パセリ,33600,香　川,037,243,1887,,
2021,11,30,火,パセリ,33600,長　野,020,227,826,,
2021,11,30,火,きゅうり,34100,,,385445,282,67.8,101.1
2021,11,30,火,きゅうり,34100,宮　崎,045,133533,286,,
2021,11,30,火,きゅうり,34100,高　知,039,57652,306,,
2021,11,30,火,きゅうり,34100,埼　玉,011,26892,288,,
2021,11,30,火,きゅうり,34100,千　葉,012,24979,296,,
2021,11,30,火,きゅうり,34100,愛　知,023,24781,304,,
2021,11,30,火,かぼちゃ,34200,,,327779,162,110.5,95.9
2021,11,30,火,かぼちゃ,34200,北海道,001,245687,137,,
2021,11,30,火,かぼちゃ,34200,石　川,017,12000,205,,
2021,11,30,火,かぼちゃ,34200,宮　崎,045,8329,480,,
2021,11,30,火,　　うち輸入,34201,,,48700,184,86.0,102.2
2021,11,30,火,なす,34300,,,151532,438,81.9,100.5
2021,11,30,火,なす,34300,高　知,039,93398,433,,
2021,11,30,火,なす,34300,福　岡,040,34778,459,,
2021,11,30,火,トマト,34400,,,338814,514,70.0,102.0
2021,11,30,火,トマト,34400,熊　本,043,85867,460,,
2021,11,30,火,トマト,34400,愛　知,023,56955,558,,
2021,11,30,火,トマト,34400,栃　木,009,44745,557,,
2021,11,30,火,トマト,34400,福　岡,040,29361,462,,
2021,11,30,火,トマト,34400,千　葉,012,26519,519,,
2021,11,30,火,ミニトマト,34450,,,168709,647,61.9,99.2
2021,11,30,火,ミニトマト,34450,熊　本,043,61340,626,,
2021,11,30,火,ミニトマト,34450,宮　崎,045,31159,597,,
2021,11,30,火,ミニトマト,34450,愛　知,023,22105,719,,
2021,11,30,火,ミニトマト,34450,千　葉,012,9275,653,,
2021,11,30,火,ミニトマト,34450,長　崎,042,8013,554,,
2021,11,30,火,ピーマン,34500,,,206614,323,82.2,97.9
2021,11,30,火,ピーマン,34500,宮　崎,045,70075,311,,
2021,11,30,火,ピーマン,34500,高　知,039,38770,325,,
2021,11,30,火,ピーマン,34500,茨　城,008,38096,312,,
2021,11,30,火,ピーマン,34500,鹿児島,046,29441,276,,
2021,11,30,火,ししとう,34600,,,8582,1275,93.7,96.3
2021,11,30,火,ししとう,34600,高　知,039,6200,1409,,
2021,11,30,火,ししとう,34600,京　都,026,1505,882,,
